,fname,text
0,m.app introduction readme ,"m.app introduction readme .   Introduction - Phantom Developer Docs   Phantom Developer DocsHomeDeveloper DiscordChangelogTwitterSearch⌃KLinks👻IntroductionIntroductionDeveloper Settings🟢SolanaGetting Started With SolanaDetecting the ProviderEstablishing a ConnectionSending a Legacy TransactionSending a Versioned TransactionSigning a MessageError Messages and Codes🔷Ethereum & PolygonGetting Started with Ethereum and PolygonDetecting the ProviderEstablishing a ConnectionSending a TransactionSigning a MessageProvider API Reference⛓Phantom DeeplinksPhantom DeeplinksProvider MethodsOther MethodsHandling SessionsSpecifying RedirectsEncryptionLimitations🤝Library IntegrationsDynamicPrivyRainbowKitwagmiWeb3-OnboardWeb3-React (V8)🛠Developer PowertoolsPhantom BlocklistSign-In-With (SIW) StandardsSolana Priority FeesSolana Versioned TransactionsWallet Standard✅Best PracticesDisplaying Apps within the Activity TabDisplaying Tokens on SolanaDisplaying Apps within Dialogs🙋ResourcesFAQDemo ApplicationsCommunity Guides & SDKsLogos & AssetsPowered By GitBookIntroductionPhantom is a crypto wallet that can be used to manage digital assets and access decentralized applications on Solana, Polygon, and Ethereum. Phantom is currently available as:A browser extension​An iOS app​An Android app​At its core, Phantom works by creating and managing private keys on behalf of its users. These keys can then be used within Phantom to store funds and sign transactions. Developers can interact with Phantom via both web applications as well as iOS and Android applications.To interact with web applications, the Phantom extension and mobile in-app browser injects a phantom object into the javascript context of every site the user visits. A given web app may then interact with Phantom, and ask for the user's permission to perform transactions, through this injected provider.It's also possible to interact with the Phantom mobile app through universal links and deeplinks. With deeplinks, mobile apps can prompt their users to connect, sign, and send with Phantom directly. Once complete, Phantom will redirect users back to their referring applications.This documentation is intended for developers who are building applications with Phantom. If you are a developer looking for help with an integration, please check out our developer discord. For all other support requests, please visit our Help Center.​Next - IntroductionDeveloper SettingsLast modified 2mo agoCopy link "
1,m.app introduction developer settings,"m.app introduction developer settings.   Developer Settings - Phantom Developer Docs   Phantom Developer DocsHomeDeveloper DiscordChangelogTwitterSearch⌃KLinks👻IntroductionIntroductionDeveloper Settings🟢SolanaGetting Started With SolanaDetecting the ProviderEstablishing a ConnectionSending a Legacy TransactionSending a Versioned TransactionSigning a MessageError Messages and Codes🔷Ethereum & PolygonGetting Started with Ethereum and PolygonDetecting the ProviderEstablishing a ConnectionSending a TransactionSigning a MessageProvider API Reference⛓Phantom DeeplinksPhantom DeeplinksProvider MethodsOther MethodsHandling SessionsSpecifying RedirectsEncryptionLimitations🤝Library IntegrationsDynamicPrivyRainbowKitwagmiWeb3-OnboardWeb3-React (V8)🛠Developer PowertoolsPhantom BlocklistSign-In-With (SIW) StandardsSolana Priority FeesSolana Versioned TransactionsWallet Standard✅Best PracticesDisplaying Apps within the Activity TabDisplaying Tokens on SolanaDisplaying Apps within Dialogs🙋ResourcesFAQDemo ApplicationsCommunity Guides & SDKsLogos & AssetsPowered By GitBookDeveloper SettingsDevelopers can can configure the following settings on Phantom's extension or mobile apps:​Preferred Explorer​​Testnet Mode​Preferred ExplorerDevelopers can choose the default block explorers for all the three chains that are currently supported by Phantom: Solana, Ethereum and Polygon. The following options can be chosen:Solana​Solana Beach​​Solscan (Default)​Solana Explorer​​Solana FM​Ethereum​Etherscan​Polygon​Polygonscan​Testnet ModeDevelopers can configure the following testnets in testnet mode:SolanaSolana TestnetSolana DevnetEthereum and PolygonEthereum GoerliPolygon MumbaiIntroduction - PreviousIntroductionNext - SolanaGetting Started With SolanaLast modified 1mo agoCopy linkOn this pagePreferred ExplorerTestnet Mode "
2,m.app solana sending a transaction 1,"m.app solana sending a transaction 1.   Sending a Versioned Transaction - Phantom Developer Docs    Phantom Developer DocsHomeDeveloper DiscordChangelogTwitterSearch⌃KLinks👻IntroductionIntroductionDeveloper Settings🟢SolanaGetting Started With SolanaDetecting the ProviderEstablishing a ConnectionSending a Legacy TransactionSending a Versioned TransactionSigning a MessageError Messages and Codes🔷Ethereum & PolygonGetting Started with Ethereum and PolygonDetecting the ProviderEstablishing a ConnectionSending a TransactionSigning a MessageProvider API Reference⛓Phantom DeeplinksPhantom DeeplinksProvider MethodsOther MethodsHandling SessionsSpecifying RedirectsEncryptionLimitations🤝Library IntegrationsDynamicPrivyRainbowKitwagmiWeb3-OnboardWeb3-React (V8)🛠Developer PowertoolsPhantom BlocklistSign-In-With (SIW) StandardsSolana Priority FeesSolana Versioned TransactionsWallet Standard✅Best PracticesDisplaying Apps within the Activity TabDisplaying Tokens on SolanaDisplaying Apps within Dialogs🙋ResourcesFAQDemo ApplicationsCommunity Guides & SDKsLogos & AssetsPowered By GitBookSending a Versioned TransactionOn October 10, 2022, Solana introduced the concept of Versioned Transactions. Currently, the Solana runtime supports two types of transactions: legacy (see Sending a Legacy Transaction) and v0 (transactions that can include Address Lookup Tables (LUTS)).The goal of v0 is to increase the maximum size of a transaction, and hence the number of accounts that can fit in a single atomic transaction. With LUTs, developers can now build transactions with a maximum of 256 accounts, as compared to the limit of 35 accounts in legacy transactions that do not utilize LUTs.For a dive deep on Versioned Transactions, LUTs, and how the above changes affect the anatomy of a transaction, you can read this detailed guide.On this page, we'll go over the following:1.Building a Versioned Transaction2.Signing and Sending a Versioned Transaction3.Building an Address Lookup Table (LUT)4.Extending an Address Lookup Table (LUT)5.Signing and Sending a Versioned Transaction utilising a LUTBuilding a Versioned TransactionVersioned transactions are built in a very similar fashion to legacy transactions. The only difference is that developers should use the VersionedTransaction class rather than the Transaction class.The following example show how to build a simple transfer instruction. Once the transfer instruction is made, a MessageV0 formatted transaction message is constructed with the transfer instruction. Finally, a new VersionedTransaction is created, parsing in the v0 compatible message.createTransactionV0()// create array of instructionsconst instructions = [ SystemProgram.transfer({ fromPubkey: publicKey, toPubkey: publicKey, lamports: 10, }),];​// create v0 compatible messageconst messageV0 = new TransactionMessage({ payerKey: publicKey, recentBlockhash: blockhash, instructions,}).compileToV0Message();​// make a versioned transactionconst transactionV0 = new VersionedTransaction(messageV0);Check out the createTransferTransactionV0() function in our code sandbox for a live example of creating a versioned transaction.Signing and Sending a Versioned TransactionOnce a Versioned transaction is created, it can be signed and sent via Phantom using the signAndSendTransaction method on the provider. The call will return a Promise for an object containing the signature. This is the same way a legacy transaction is sent via the Phantom provider.signAndSendTransaction()const provider = getProvider(); // see ""Detecting the Provider""const network = ""<NETWORK_URL>"";const connection = new Connection(network);const versionedTransaction = new VersionedTransaction();const { signature } = await provider.signAndSendTransaction(versionedTransaction);await connection.getSignatureStatus(signature);You can also specify a SendOptions object as a second argument into signAndSendTransaction() or as an options parameter when using request.For a live demo of signing and sending a Versioned transaction, please refer to the handleSignAndSendTransactionV0() section of our developer sandbox.Building an Address Lookup Table (LUT)Address Lookup Tables (LUTs) can be used to load accounts into table-like data structures. These structures can then be referenced to significantly increase the number of accounts that can be loaded in a single transaction.This lookup method effectively ""compresses"" a 32-byte address into a 1-byte index value. This ""compression"" enables storing up to 256 address in a single lookup table for use inside any given transaction.With the @solana/web3.js createLookupTable function, developers can construct the instruction needed to create a new lookup table, as well as determine its address. Once we have the lookup table instruction, we can construct a transaction, sign it, and send it to create a lookup table on-chain. Address lookup tables can be created with either a v0 transaction or a legacy transaction. However, the Solana runtime can only retrieve and handle the additional addresses within a lookup table while using v0 transactions.Here's a code snippet that creates a Lookup Table.createAddressLookupTable()// create an Address Lookup Tableconst [lookupTableInst, lookupTableAddress] = AddressLookupTableProgram.createLookupTable({ authority: publicKey, payer: publicKey, recentSlot: slot,});​// To create the Address Lookup Table on chain:// send the `lookupTableInst` instruction in a transactionconst lookupMessage = new TransactionMessage({ payerKey: publicKey, recentBlockhash: blockhash, instructions: [lookupTableInst],}).compileToV0Message();​const lookupTransaction = new VersionedTransaction(lookupMessage);const lookupSignature = await signAndSendTransaction(provider, lookupTransaction);Please refer to the handleSignAndSendTransactionV0WithLookupTable() in our code sandbox for a live demo of creating a lookup table.Extending an Address Lookup Table (LUT)Once an Address Lookup Table is created, it can then be extended (i.e. accounts can be appended to the table). Using the @solana/web3.js library, you can create a new extend instruction using the extendLookupTable method. Once the extend instruction is created, it can be sent in a transaction.extendAddressLookupTable()// add addresses to the `lookupTableAddress` table via an `extend` instructionconst extendInstruction = AddressLookupTableProgram.extendLookupTable({ payer: publicKey, authority: publicKey, lookupTable: lookupTableAddress, addresses: [ publicKey, SystemProgram.programId, // more `publicKey` addresses can be listed here ],});​// Send this `extendInstruction` in a transaction to the cluster// to insert the listing of `addresses` into your lookup table with address `lookupTableAddress`const extensionMessageV0 = new TransactionMessage({ payerKey: publicKey, recentBlockhash: blockhash, instructions: [extendInstruction],}).compileToV0Message();​const extensionTransactionV0 = new VersionedTransaction(extensionMessageV0);const extensionSignature = await signAndSendTransaction(provider, extensionTransactionV0);Please refer to the handleSignAndSendTransactionV0WithLookupTable() in our code sandbox for a live demo of extending a lookup table.Signing and Sending a Versioned Transaction utilizing a LUTUp until now, we have:1.Learned how to create a VersionedTransaction2.Created an Address Lookup Table3.Extended the Address Lookup TableAt this point, we are now ready to sign and send a VersionedTransaction utilizing an Address Lookup Table.First, we need to fetch the account of the created Address Lookup Table.getAddressLookupTable()// get the table from the clusterconst lookupTableAccount = await connection.getAddressLookupTable(lookupTableAddress).then((res) => res.value);// `lookupTableAccount` will now be a `AddressLookupTableAccount` objectconsole.log('Table address from cluster:', lookupTableAccount.key.toBase58());We can also parse and read all the addresses currently stores in the fetched Address Lookup Table.Parse and Read addresses// Loop through and parse all the address stored in the tablefor (let i = 0; i < lookupTableAccount.state.addresses.length; i++) { const address = lookupTableAccount.state.addresses[i]; console.log(i, address.toBase58());}We can now create the instructions array with an arbitrary transfer instruction, just the way we did while creating the VersionedTransaction earlier. This VersionedTransaction can then be sent using the signAndSendTransaction() provider function.Untitled// create an array with your desired `instructions`// in this case, just a transfer instructionconst instructions = [ SystemProgram.transfer({ fromPubkey: publicKey, toPubkey: publicKey, lamports: minRent, }),];​// create v0 compatible messageconst messageV0 = new TransactionMessage({ payerKey: publicKey, recentBlockhash: blockhash, instructions,}).compileToV0Message([lookupTableAccount]);​// make a versioned transactionconst transactionV0 = new VersionedTransaction(messageV0);const signature = await signAndSendTransaction(provider, transactionV0);Please refer to the handleSignAndSendTransactionV0WithLookupTable() in our code sandbox for a live demo of signing and sending a versioned transaction utilizing an Address Lookup Table.Solana - PreviousSending a Legacy TransactionNext - SolanaSigning a MessageLast modified 5mo agoCopy linkOn this pageBuilding a Versioned TransactionSigning and Sending a Versioned TransactionBuilding an Address Lookup Table (LUT)Extending an Address Lookup Table (LUT)Signing and Sending a Versioned Transaction utilizing a LUT "
3,m.app library integrations wagmi,"m.app library integrations wagmi.   wagmi - Phantom Developer Docs    Phantom Developer DocsHomeDeveloper DiscordChangelogTwitterSearch⌃KLinks👻IntroductionIntroductionDeveloper Settings🟢SolanaGetting Started With SolanaDetecting the ProviderEstablishing a ConnectionSending a Legacy TransactionSending a Versioned TransactionSigning a MessageError Messages and Codes🔷Ethereum & PolygonGetting Started with Ethereum and PolygonDetecting the ProviderEstablishing a ConnectionSending a TransactionSigning a MessageProvider API Reference⛓Phantom DeeplinksPhantom DeeplinksProvider MethodsOther MethodsHandling SessionsSpecifying RedirectsEncryptionLimitations🤝Library IntegrationsDynamicPrivyRainbowKitwagmiWeb3-OnboardWeb3-React (V8)🛠Developer PowertoolsPhantom BlocklistSign-In-With (SIW) StandardsSolana Priority FeesSolana Versioned TransactionsWallet Standard✅Best PracticesDisplaying Apps within the Activity TabDisplaying Tokens on SolanaDisplaying Apps within Dialogs🙋ResourcesFAQDemo ApplicationsCommunity Guides & SDKsLogos & AssetsPowered By GitBookwagmiThis tutorial is a step-by-step guide on how to integrate a wallet such as Phantom into your dApp using the wagmi library. wagmi is a collection of React Hooks containing everything you need to start working with Ethereum. wagmi makes it easy to ""Connect Wallet,"" display ENS and balance information, sign messages, interact with contracts, and generally facilitate programmatic on-chain activity.We will be going through step by step how to go from 0 to a fully integrated wagmi button. If you already have a dApp that you are trying to integrate Phantom in, you can use our project as reference.PrerequisitesNode version >=16.12.0A text editor/IDE (such as VSCode)Some Knowledge of ReactCreating The AppWe recommend using Vite to create new react applications.To create a new React application using Vite, run the following command in your terminal:yarn create vite1.This will ask you for a project name. Provide it a name here. For purposes of this tutorial I used ""wagmi-sandbox"".2.It will then ask you to select a framework. Select ""React"" here.3.Next it will ask for a variant. Select ""Typescript"" here.Now change directory into your project and run:yarn installAnd make sure your app runs by running the command:yarn devConfiguring TypeScriptYou will need to change the moduleResolution keys to be switched from ""bundler"" to ""node"".Each file should look as follows.tsconfig.jsontsconfig.node.json{ ""compilerOptions"": { ""target"": ""ESNext"", ""lib"": [""DOM"", ""DOM.Iterable"", ""ESNext""], ""module"": ""ESNext"", ""skipLibCheck"": true, ""moduleResolution"": ""node"", ""resolveJsonModule"": true, ""isolatedModules"": true, ""noEmit"": true, ""allowSyntheticDefaultImports"": true, ""jsx"": ""react-jsx"",​ /* Linting */ ""strict"": true, ""noUnusedLocals"": true, ""noUnusedParameters"": true, ""noFallthroughCasesInSwitch"": true }, ""include"": [""src""], ""references"": [{ ""path"": ""./tsconfig.node.json"" }]}​{ ""compilerOptions"": { ""composite"": true, ""skipLibCheck"": true, ""module"": ""ESNext"", ""moduleResolution"": ""node"", ""allowSyntheticDefaultImports"": true }, ""include"": [""vite.config.ts""]}With that out of the way we can install all of our dependencies.Installing wagmiTo install the appropriate package, run the following:yarn add wagmi viem phantom-wagmi-connectorNow you can use the wagmi package in your project and integrate a Phantom connection button into your app.Initializing WagmiFirst we will need to import the packages into our project. At the top of the main.tsx file add these imports:import { configureChains, createConfig, WagmiConfig,} from 'wagmi';import { publicProvider } from 'wagmi/providers/public';import { PhantomConnector } from 'phantom-wagmi-connector';import { goerli } from 'wagmi/chains'Next, we will configure wagmi like so.// =============================================================================// wagmi configuration// =============================================================================// initalize which chains your dapp will use, and set up a providerconst { publicClient, webSocketPublicClient, chains } = configureChains([goerli], [publicProvider()]);​const wagmiConfig = createConfig({ publicClient, webSocketPublicClient, connectors: [ new PhantomConnector({ chains }), ]});Here we configure what chains we will support in our dApp, as well as the client that wagmi requires to interface with the blockchain.Then we set up our connectors. This is all of the wallets that you want your dApp to support. You can have as many connectors as you would like in this array. But for example purposes we're just using the PhantomConnector that we imported from phantom-wagmi-connector.With this bit of prep done, we can now go to our app and wrap it in the <WagmiConfig> component.Wrapping Your App In WagmiConfigIn main.tsx wrap your <App />component with the providers. Your file should look like this with all of the configuration and wrapping completed.import React from 'react'import ReactDOM from 'react-dom/client'import App from './App'import './index.css'​import { configureChains, createConfig, WagmiConfig,} from 'wagmi';import { publicProvider } from 'wagmi/providers/public';import { PhantomConnector } from 'phantom-wagmi-connector';import { goerli } from 'wagmi/chains'​​// =============================================================================// wagmi configuration// =============================================================================// initalize which chains your dapp will use, and set up a providerconst { publicClient, webSocketPublicClient, chains } = configureChains([goerli], [publicProvider()]);​const wagmiConfig = createConfig({ publicClient, webSocketPublicClient, connectors: [ new PhantomConnector({ chains }), ]});​ReactDOM.createRoot(document.getElementById('root') as HTMLElement).render( <React.StrictMode> <WagmiConfig config={wagmiConfig}> <App /> </WagmiConfig> </React.StrictMode>,)Now we have everything we need done to add a connect wallet button to the app.Adding A Connect ButtonAt the top of your App.tsx file you can import the useConnect hook from wagmi. We will also display the address once connected, so we will import the useAccount hook as well. We also want to make sure we're connecting to Goerli, so we will import the chain as well.import { useAccount, useConnect } from 'wagmi';import { goerli } from 'wagmi/chains';Then inside our App component, we will need to call the hooks. You can replace the useState hook that is keeping track of the counter with the following// WHAT IS THERE RIGHT NOWconst [count, setCount] = useState(0)// REPLACE WITHconst { address } = useAccount();const { connect, connectors, isLoading, pendingConnector } = useConnect();Next, you can add this connect button in place of the counter button that is there by default.//REPLACE THIS<button onClick={() => setCount((count) => count + 1)}> count is {count}</button>// WITH THIS {connectors.map((connector) => ( <Button disabled={!connector.ready} key={connector.id} onClick={() => connect({ connector, chainId: goerli.id })}> Connect to {connector.name} {isLoading && pendingConnector?.id === connector.id && ' (connecting)'} </Button> ))} <p>Connected to: {address ? address : 'not connected yet'}</p>Then delete the useState import as we don't need it anymore.Your entire App.tsx file should look like soimport reactLogo from ""./assets/react.svg"";import viteLogo from ""/vite.svg"";import ""./App.css"";import { useAccount, useConnect } from ""wagmi"";import { goerli } from 'wagmi/chains';​function App() { const { address } = useAccount(); const { connect, connectors, isLoading, pendingConnector } = useConnect(); return ( <> <div> <a href=""https://vitejs.dev"" target=""_blank""> <img src={viteLogo} className=""logo"" alt=""Vite logo"" /> </a> <a href=""https://react.dev"" target=""_blank""> <img src={reactLogo} className=""logo react"" alt=""React logo"" /> </a> </div> <h1>Vite + React</h1> <div className=""card""> {connectors.map((connector) => ( <button disabled={!connector.ready} key={connector.id} onClick={() => connect({ connector, chainId: goerli.id })} >   Connect to {connector.name} {isLoading &&    pendingConnector?.id === connector.id && "" (connecting)""} </button> ))} <p>Connected to: {address ? address : ""not connected yet""}</p> <p>   Edit <code>src/App.tsx</code> and save to test HMR </p> </div> <p className=""read-the-docs"">  Click on the Vite and React logos to learn more </p> </> );}​export default App;​Now when you run everything locally it should look like this!Once you click the connect button, it will prompt you to connect with Phantom, and then look like the picture below. Be sure to enable testnet mode, otherwise, you will encounter an error when trying to connect.Conclusionwagmi lets you easily manage a bunch of different web3 primitives through their typesafe hooks, and as you can see adding a connect button is very straightforward with just a bit of configuration up front.Now that you've connected through wagmi and done all of the necessary config, you can use the other wagmi hooks to do things like sign messages, and send transactions. To see what a more advanced app might look like, you can look at the code for our sandbox for wagmi. And you can also check out the functionality here for a live demo.We hope that you enjoyed this guide!Library Integrations - PreviousRainbowKitNext - Library IntegrationsWeb3-OnboardLast modified 11d agoCopy linkOn this pagePrerequisitesCreating The AppConfiguring TypeScriptInstalling wagmiInitializing WagmiWrapping Your App In WagmiConfigAdding A Connect ButtonConclusion "
4,m.app solana integrating phantom,"m.app solana integrating phantom.   Getting Started With Solana - Phantom Developer Docs   Phantom Developer DocsHomeDeveloper DiscordChangelogTwitterSearch⌃KLinks👻IntroductionIntroductionDeveloper Settings🟢SolanaGetting Started With SolanaDetecting the ProviderEstablishing a ConnectionSending a Legacy TransactionSending a Versioned TransactionSigning a MessageError Messages and Codes🔷Ethereum & PolygonGetting Started with Ethereum and PolygonDetecting the ProviderEstablishing a ConnectionSending a TransactionSigning a MessageProvider API Reference⛓Phantom DeeplinksPhantom DeeplinksProvider MethodsOther MethodsHandling SessionsSpecifying RedirectsEncryptionLimitations🤝Library IntegrationsDynamicPrivyRainbowKitwagmiWeb3-OnboardWeb3-React (V8)🛠Developer PowertoolsPhantom BlocklistSign-In-With (SIW) StandardsSolana Priority FeesSolana Versioned TransactionsWallet Standard✅Best PracticesDisplaying Apps within the Activity TabDisplaying Tokens on SolanaDisplaying Apps within Dialogs🙋ResourcesFAQDemo ApplicationsCommunity Guides & SDKsLogos & AssetsPowered By GitBookGetting Started With SolanaThe Phantom browser extension and mobile in-app browser are both designed to interact with web applications. For mobile apps, we recommend integrating via universal links or deeplinks.There are two main ways to integrate Phantom into your web application:Direct IntegrationThe most direct way to interact with Phantom is via the provider that Phantom injects into your web application. This provider is globally available at window.phantom and its methods will always include Phantom's most up-to-date functionality. This documentation is dedicated to covering all aspects of the provider.Solana Wallet AdapterAnother quick and easy way to get up and running with Phantom is via the Solana Wallet Adapter package. The wallet adapter is a set of modular TypeScript components that allow developers to easily integrate multiple Solana wallets into their applications. This package includes starter files, setup and usage instructions, and a live demo showcasing multiple UI frameworks.Introduction - PreviousDeveloper SettingsNext - SolanaDetecting the ProviderLast modified 1mo agoCopy linkOn this pageDirect IntegrationSolana Wallet Adapter "
5,m.app phantom deeplinks limitations,m.app phantom deeplinks limitations.   Limitations - Phantom Developer Docs   Phantom Developer DocsHomeDeveloper DiscordChangelogTwitterSearch⌃KLinks👻IntroductionIntroductionDeveloper Settings🟢SolanaGetting Started With SolanaDetecting the ProviderEstablishing a ConnectionSending a Legacy TransactionSending a Versioned TransactionSigning a MessageError Messages and Codes🔷Ethereum & PolygonGetting Started with Ethereum and PolygonDetecting the ProviderEstablishing a ConnectionSending a TransactionSigning a MessageProvider API Reference⛓Phantom DeeplinksPhantom DeeplinksProvider MethodsOther MethodsHandling SessionsSpecifying RedirectsEncryptionLimitations🤝Library IntegrationsDynamicPrivyRainbowKitwagmiWeb3-OnboardWeb3-React (V8)🛠Developer PowertoolsPhantom BlocklistSign-In-With (SIW) StandardsSolana Priority FeesSolana Versioned TransactionsWallet Standard✅Best PracticesDisplaying Apps within the Activity TabDisplaying Tokens on SolanaDisplaying Apps within Dialogs🙋ResourcesFAQDemo ApplicationsCommunity Guides & SDKsLogos & AssetsPowered By GitBookLimitationsAndroidAndroid has a 500kb Transaction limit when passing data between services and apps. The requesting app may crash with a TransactionTooLarge exception when requesting a string >500kb (over 31k characters). This tends to happen with significantly large intents.iOSiOS is not known to have a 500kb transaction and allows transmissions up to 1 MB.Phantom Deeplinks - PreviousEncryptionNext - Library IntegrationsDynamicLast modified 1yr agoCopy linkOn this pageAndroidiOS 
6,m.app phantom deeplinks specifying redirects,"m.app phantom deeplinks specifying redirects.   Specifying Redirects - Phantom Developer Docs   Phantom Developer DocsHomeDeveloper DiscordChangelogTwitterSearch⌃KLinks👻IntroductionIntroductionDeveloper Settings🟢SolanaGetting Started With SolanaDetecting the ProviderEstablishing a ConnectionSending a Legacy TransactionSending a Versioned TransactionSigning a MessageError Messages and Codes🔷Ethereum & PolygonGetting Started with Ethereum and PolygonDetecting the ProviderEstablishing a ConnectionSending a TransactionSigning a MessageProvider API Reference⛓Phantom DeeplinksPhantom DeeplinksProvider MethodsOther MethodsHandling SessionsSpecifying RedirectsEncryptionLimitations🤝Library IntegrationsDynamicPrivyRainbowKitwagmiWeb3-OnboardWeb3-React (V8)🛠Developer PowertoolsPhantom BlocklistSign-In-With (SIW) StandardsSolana Priority FeesSolana Versioned TransactionsWallet Standard✅Best PracticesDisplaying Apps within the Activity TabDisplaying Tokens on SolanaDisplaying Apps within Dialogs🙋ResourcesFAQDemo ApplicationsCommunity Guides & SDKsLogos & AssetsPowered By GitBookSpecifying RedirectsAll Methods support a redirect_link= param that lets Phantom know how to get back to the original app. The URI specified by this param should be URL encoded. The following is an example for a mydapp://onPhantomConnected redirect URI:redirect_link%3Dmydapp%3A%2F%2FonPhantomConnectedIf the deeplink request to Phantom comes with a response, Phantom will append the results as query parameters in the redirect_link= upon redirecting.redirect_link=mydapp://onPhantomConnected?data=...Phantom Deeplinks - PreviousHandling SessionsNext - Phantom DeeplinksEncryptionLast modified 1yr agoCopy link "
7,m.app phantom deeplinks deeplinks ios and android,"m.app phantom deeplinks deeplinks ios and android.   Phantom Deeplinks - Phantom Developer Docs   Phantom Developer DocsHomeDeveloper DiscordChangelogTwitterSearch⌃KLinks👻IntroductionIntroductionDeveloper Settings🟢SolanaGetting Started With SolanaDetecting the ProviderEstablishing a ConnectionSending a Legacy TransactionSending a Versioned TransactionSigning a MessageError Messages and Codes🔷Ethereum & PolygonGetting Started with Ethereum and PolygonDetecting the ProviderEstablishing a ConnectionSending a TransactionSigning a MessageProvider API Reference⛓Phantom DeeplinksPhantom DeeplinksProvider MethodsOther MethodsHandling SessionsSpecifying RedirectsEncryptionLimitations🤝Library IntegrationsDynamicPrivyRainbowKitwagmiWeb3-OnboardWeb3-React (V8)🛠Developer PowertoolsPhantom BlocklistSign-In-With (SIW) StandardsSolana Priority FeesSolana Versioned TransactionsWallet Standard✅Best PracticesDisplaying Apps within the Activity TabDisplaying Tokens on SolanaDisplaying Apps within Dialogs🙋ResourcesFAQDemo ApplicationsCommunity Guides & SDKsLogos & AssetsPowered By GitBookPhantom DeeplinksAs of Phantom v22.04.11, iOS and Android apps can now natively interact with Phantom through either universal links (recommended) or deeplinks. We refer to both of these workflows collectively as ""deeplinks"".Currently only Solana is supported for deeplinks.All Provider Methods follow a protocol format of:https://phantom.app/ul/<version>/<method>It is also possible (but not recommended) to call these methods using Phantom's custom protocol handler:phantom://<version>/<method>In addition to these provider methods, Phantom also supports Other Methods that are accessible via deeplinks. Specifically, users can open web apps within Phantom's in-app browser via the Browse deeplink.PreviousError Messages & CodesNext - Phantom DeeplinksProvider MethodsLast modified 2mo agoCopy link "
8,m.app ethereum and polygon provider api reference errors,"m.app ethereum and polygon provider api reference errors.   Error Messages & Codes - Phantom Developer Docs   Phantom Developer DocsHomeDeveloper DiscordChangelogTwitterSearch⌃KLinks👻IntroductionIntroductionDeveloper Settings🟢SolanaGetting Started With SolanaDetecting the ProviderEstablishing a ConnectionSending a Legacy TransactionSending a Versioned TransactionSigning a MessageError Messages and Codes🔷Ethereum & PolygonGetting Started with Ethereum and PolygonDetecting the ProviderEstablishing a ConnectionSending a TransactionSigning a MessageProvider API ReferencePropertiesEventsMethodsError Messages & Codes⛓Phantom DeeplinksPhantom DeeplinksProvider MethodsOther MethodsHandling SessionsSpecifying RedirectsEncryptionLimitations🤝Library IntegrationsDynamicPrivyRainbowKitwagmiWeb3-OnboardWeb3-React (V8)🛠Developer PowertoolsPhantom BlocklistSign-In-With (SIW) StandardsSolana Priority FeesSolana Versioned TransactionsWallet Standard✅Best PracticesDisplaying Apps within the Activity TabDisplaying Tokens on SolanaDisplaying Apps within Dialogs🙋ResourcesFAQDemo ApplicationsCommunity Guides & SDKsLogos & AssetsPowered By GitBookError Messages & CodesWhen making requests to Phantom in Establishing a Connection, Sending a Transaction, or Signing a Message, Phantom may respond with an error. The following is a list of all possible error codes and their meanings. These error messages follow EIP-1474 and EIP-1193. CodeTitleDescription4900DisconnectedPhantom could not connect to the network.4100UnauthorizedThe requested method and/or account has not been authorized by the user.4001User Rejected RequestThe user rejected the request through Phantom.-32000Invalid InputMissing or invalid parameters.-32002Requested resource not availableThis error occurs when a dapp attempts to submit a new transaction while Phantom's approval dialog is already open for a previous transaction. Only one approve window can be open at a time. Users should approve or reject their transaction before initiating a new transaction.-32003Transaction RejectedPhantom does not recognize a valid transaction.-32601Method Not FoundPhantom does not recognize the method.-32603Internal ErrorSomething went wrong within Phantom.PreviousrequestNext - Phantom DeeplinksPhantom DeeplinksLast modified 6mo agoCopy link "
9,m.app ethereum and polygon provider api reference properties,"m.app ethereum and polygon provider api reference properties.   Properties - Phantom Developer Docs   Phantom Developer DocsHomeDeveloper DiscordChangelogTwitterSearch⌃KLinks👻IntroductionIntroductionDeveloper Settings🟢SolanaGetting Started With SolanaDetecting the ProviderEstablishing a ConnectionSending a Legacy TransactionSending a Versioned TransactionSigning a MessageError Messages and Codes🔷Ethereum & PolygonGetting Started with Ethereum and PolygonDetecting the ProviderEstablishing a ConnectionSending a TransactionSigning a MessageProvider API ReferencePropertiesisPhantomchainIdnetworkVersionselectedAddress_events_eventsCountEventsMethodsError Messages & Codes⛓Phantom DeeplinksPhantom DeeplinksProvider MethodsOther MethodsHandling SessionsSpecifying RedirectsEncryptionLimitations🤝Library IntegrationsDynamicPrivyRainbowKitwagmiWeb3-OnboardWeb3-React (V8)🛠Developer PowertoolsPhantom BlocklistSign-In-With (SIW) StandardsSolana Priority FeesSolana Versioned TransactionsWallet Standard✅Best PracticesDisplaying Apps within the Activity TabDisplaying Tokens on SolanaDisplaying Apps within Dialogs🙋ResourcesFAQDemo ApplicationsCommunity Guides & SDKsLogos & AssetsPowered By GitBookPropertiesHere you will find a list of all of the properties available to you once the window.phantom.ethereum object has been injected. These are all exactly the same as the window.ethereum object. However, we recommend using the window.phantom.ethereum object to prevent namespace collisions.{ chainId: HexString networkVersion: String selectedAddress: HexString _events: Object _eventsCount: Number}Ethereum & Polygon - PreviousProvider API ReferenceNextisPhantomLast modified 3mo agoCopy link "
